Kept_idx,Orig_idx,Row,Col,Score
113,127,3,31,0.4396041
209,251,7,27,0.43945643
426,510,15,30,0.43847868
266,322,10,2,0.43821546
59,59,1,27,0.43640545
93,93,2,29,0.43579948
180,222,6,30,0.4348355
489,573,17,29,0.43390462
215,257,8,1,0.4336794
210,252,7,28,0.43073845
274,330,10,10,0.43068734
521,826,25,26,0.43036374
211,253,7,29,0.42978048
181,223,6,31,0.42886975
198,240,7,16,0.4272469
214,256,8,0,0.42689747
482,566,17,22,0.42685977
84,84,2,20,0.4267459
508,729,22,25,0.42667782
530,891,27,27,0.42612115
269,325,10,5,0.42568243
331,387,12,3,0.42404696
45,45,1,13,0.42278406
323,379,11,27,0.421951
307,363,11,11,0.42040572
388,472,14,24,0.4199364
452,536,16,24,0.41956505
179,221,6,29,0.41707686
484,568,17,24,0.41584092
44,44,1,12,0.41515186
153,195,6,3,0.4144794
12,12,0,12,0.41367966
26,26,0,26,0.4134423
233,275,8,19,0.4119315
493,602,18,26,0.41177198
377,447,13,31,0.4111359
201,243,7,19,0.40928605
335,391,12,7,0.4085225
92,92,2,28,0.40836397
13,13,0,13,0.40825415
205,247,7,23,0.4081099
249,305,9,17,0.40752125
185,227,7,3,0.4071082
301,357,11,5,0.40688568
115,143,4,15,0.40627834
176,218,6,26,0.40512908
504,697,21,25,0.4035731
453,537,16,25,0.40347794
520,825,25,25,0.403318
315,371,11,19,0.4031069
492,601,18,25,0.40289357
400,484,15,4,0.40285373
427,511,15,31,0.40238684
32,32,1,0,0.4001533
133,175,5,15,0.39820206
333,389,12,5,0.3978115
99,113,3,17,0.39772984
260,316,9,28,0.39764857
188,230,7,6,0.397584
480,564,17,20,0.39694056
517,794,24,26,0.39689097
177,219,6,27,0.39622816
0,0,0,0,0.3917443
390,474,14,26,0.39132902
526,859,26,27,0.3909574
362,432,13,16,0.39089775
507,700,21,28,0.3901123
283,339,10,19,0.38899338
314,370,11,18,0.38836616
412,496,15,16,0.3869258
178,220,6,28,0.38663283
357,413,12,29,0.3849573
506,699,21,27,0.38326535
487,571,17,27,0.38321644
230,272,8,16,0.3819096
79,79,2,15,0.37977004
413,497,15,17,0.378237
460,544,17,0,0.3775706
64,64,2,0,0.37728897
129,157,4,29,0.37716344
466,550,17,6,0.37607828
471,555,17,11,0.3751101
147,189,5,29,0.37502563
372,442,13,26,0.37456772
488,572,17,28,0.36998218
444,528,16,16,0.36973843
539,956,29,28,0.36937305
509,730,22,26,0.36791578
296,352,11,0,0.36788544
355,411,12,27,0.3670565
111,125,3,29,0.3668409
1,1,0,1,0.36680496
435,519,16,7,0.36576307
516,793,24,25,0.3649905
293,349,10,29,0.36436003
